method,family,horizon,policy,resolved_policy,threshold,cal_recall,cal_ppv,cal_fa_per_hour,recall,ppv,fa_per_hour,events_detected,events_eligible,auroc,average_precision,ece,gates_met,gates_total,failed_gates,recall_ci_low,recall_ci_high,ppv_ci_low,ppv_ci_high,fa_ci_low,fa_ci_high
map_logistic,baseline,300,recall_first,recall_first,0.0516608204567169,0.6461538461538462,0.1484098939929328,1.8720870015535995,0.8260869565217391,0.2159090909090909,1.2038383250945042,19,23,0.8809337520403094,0.194874309665113,0.0040866479509916,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.6414915966386555,0.952529761904762,0.133235294117647,0.3111111111111111,0.8091561882333151,1.6936337851587246
map_logistic,baseline,300,fa_budget,max_recall_within_fa_budget,0.0963476154187748,0.1384615384615384,0.1836734693877551,0.310719834282755,0.217391304347826,0.2941176470588235,0.2093631869729572,5,23,0.8809337520403094,0.194874309665113,0.0040866479509916,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.0554166666666666,0.4381009615384617,0.0909090909090909,0.5007352941176473,0.0891413949706345,0.3604821451135315
lgbm_plain,lightgbm,300,recall_first,recall_first,0.0371035892834294,0.676923076923077,0.1235955056179775,2.423614707405489,0.782608695652174,0.1363636363636363,1.9889502762430935,18,23,0.8719741324249521,0.216448993447861,0.0042540330938177,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5293343653250774,0.9584134615384616,0.0592483660130718,0.2482122572618597,1.321746967716123,2.733598724199016
lgbm_plain,lightgbm,300,fa_budget,max_recall_within_fa_budget,0.1692617958891562,0.3538461538461538,0.3026315789473684,0.4117037804246505,0.4347826086956521,0.3846153846153846,0.279150915963943,10,23,0.8719741324249521,0.216448993447861,0.0042540330938177,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1998076923076923,0.6334090909090909,0.2140756302521008,0.6510576923076926,0.0763104365304057,0.5407856607220811
lgbm_class_weight,lightgbm,300,recall_first,recall_first,0.0313730532378361,0.6461538461538462,0.1024390243902439,2.8586224754013467,0.7391304347826086,0.1096774193548387,2.4076766501890083,17,23,0.861244766162799,0.2165657175492371,0.0058132651067044,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5714285714285714,0.8889880952380952,0.054118429023356,0.1885336976320582,1.6489922071252745,3.2553934812852408
lgbm_class_weight,lightgbm,300,fa_budget,max_recall_within_fa_budget,0.1466690493177607,0.2923076923076923,0.240506329113924,0.4660797514241326,0.3043478260869565,0.3181818181818182,0.2617039837161966,7,23,0.861244766162799,0.2165657175492371,0.0058132651067044,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1051315789473684,0.5187134502923977,0.1428571428571428,0.5333928571428571,0.0882810742325229,0.4836753305973553
lgbm_scale_pos_20x,lightgbm,300,recall_first,recall_first,0.0293229456546038,0.6461538461538462,0.0895522388059701,3.3169342309684104,0.6956521739130435,0.0981595092024539,2.564699040418726,16,23,0.8554006103186431,0.1973137938515678,0.0052178975327715,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.4993421052631579,0.882516339869281,0.0454292929292929,0.1635105965463108,1.713117716483347,3.5119388712256905
lgbm_scale_pos_20x,lightgbm,300,fa_budget,max_recall_within_fa_budget,0.1356410256410256,0.2461538461538461,0.2051282051282051,0.4816157431382704,0.3478260869565217,0.3076923076923077,0.3140447804594358,8,23,0.8554006103186431,0.1973137938515678,0.0052178975327715,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1428571428571428,0.5555555555555556,0.1871228448275862,0.5266995614035088,0.1079591478865367,0.6351193336536923
lgbm_oversample_3x,lightgbm,300,recall_first,recall_first,0.0359985723857253,0.676923076923077,0.1239436619718309,2.415846711548421,0.782608695652174,0.1313868613138686,2.076184937481826,18,23,0.8663561847988078,0.2088841570594876,0.0048523798496866,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5881845841784991,0.9131340579710144,0.0641886385426653,0.2065355149910149,1.3519876352445723,2.902738068224794
lgbm_oversample_3x,lightgbm,300,fa_budget,max_recall_within_fa_budget,0.1607692307692307,0.3384615384615385,0.2894736842105263,0.4194717762817193,0.4347826086956521,0.4,0.2617039837161966,10,23,0.8663561847988078,0.2088841570594876,0.0048523798496866,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.1713095238095238,0.7041666666666668,0.2378571428571428,0.6666666666666666,0.0763104365304057,0.5110573184071426
