threshold,gates_met,gates_total,auroc,average_precision,ece,event_sensitivity,alarm_ppv,false_alarms_per_hour,prediction_coverage,events_detected,events_eligible,method,horizon
0.0487695326387583,1,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.8260869565217391,0.1809523809523809,1.5004361733061935,0.8821140795600833,19,23,lgbm_oversample_3x,300
0.0506026969961237,1,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.782608695652174,0.1764705882352941,1.4655423088107007,0.8821140795600833,18,23,lgbm_oversample_3x,300
0.0723545129410654,1,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.6956521739130435,0.2318840579710145,0.9246874091305612,0.8821140795600833,16,23,lgbm_oversample_3x,300
0.0853846153846153,1,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.6521739130434783,0.2830188679245283,0.6629834254143646,0.8821140795600833,15,23,lgbm_oversample_3x,300
0.0875079906015915,1,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.6086956521739131,0.2745098039215686,0.6455364931666182,0.8821140795600833,14,23,lgbm_oversample_3x,300
0.0923775826610563,1,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.5652173913043478,0.2708333333333333,0.6106426286711253,0.8821140795600833,13,23,lgbm_oversample_3x,300
0.1483569447192662,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.4782608695652174,0.3928571428571428,0.2965978482116894,0.8821140795600833,11,23,lgbm_oversample_3x,300
0.1858974358974359,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.4347826086956521,0.4347826086956521,0.2268101192207036,0.8821140795600833,10,23,lgbm_oversample_3x,300
0.2361538461538461,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.3043478260869565,0.4666666666666667,0.1395754579819715,0.8821140795600833,7,23,lgbm_oversample_3x,300
0.2838712981886004,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.1739130434782608,0.5714285714285714,0.0523407967432393,0.8821140795600833,4,23,lgbm_oversample_3x,300
0.2864102564102564,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.1739130434782608,0.5714285714285714,0.0523407967432393,0.8821140795600833,4,23,lgbm_oversample_3x,300
0.3366666666666666,3,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.1304347826086956,0.75,0.0174469322477464,0.8821140795600833,3,23,lgbm_oversample_3x,300
0.3617948717948718,3,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.1304347826086956,0.75,0.0174469322477464,0.8821140795600833,3,23,lgbm_oversample_3x,300
0.5376923076923077,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.5418737795302964,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.5628205128205128,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.587948717948718,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.6130769230769231,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.6382051282051282,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.6633333333333333,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.6884615384615385,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.7135897435897436,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.7387179487179487,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.7638461538461538,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.788974358974359,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.8141025641025641,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.8392307692307692,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.8643589743589744,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.8894871794871795,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.9146153846153846,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.9397435897435896,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.9648717948717948,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.99,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
1.000001,2,6,0.8663561847988078,0.2088841570594876,0.0048523798496866,0.0,,0.0,0.8821140795600833,0,23,lgbm_oversample_3x,300
0.0559078217082484,2,7,0.8039635840606715,0.2223539141652024,0.0275564773063262,1.0,0.142156862745098,3.2422417786012043,0.8821140795600833,24,24,map_logistic,600
0.0927391709609913,2,7,0.8039635840606715,0.2223539141652024,0.0275564773063262,0.9583333333333334,0.2772277227722772,1.352477999073645,0.8821140795600833,23,24,map_logistic,600
0.1077476837816674,2,7,0.8039635840606715,0.2223539141652024,0.0275564773063262,0.9166666666666666,0.3333333333333333,0.9634089856415008,0.8821140795600833,22,24,map_logistic,600
0.1160385067161535,2,7,0.8039635840606715,0.2223539141652024,0.0275564773063262,0.875,0.423728813559322,0.6299212598425197,0.8821140795600833,21,24,map_logistic,600
0.1202632788200892,1,7,0.8039635840606715,0.2223539141652024,0.0275564773063262,0.7916666666666666,0.4074074074074074,0.5928670680870773,0.8821140795600833,19,24,map_logistic,600
0.1242666977823713,1,7,0.8039635840606715,0.2223539141652024,0.0275564773063262,0.6666666666666666,0.3958333333333333,0.5372857804539138,0.8821140795600833,16,24,map_logistic,600
0.12548116949612,2,7,0.8039635840606715,0.2223539141652024,0.0275564773063262,0.625,0.4186046511627907,0.4631773969430292,0.8821140795600833,15,24,map_logistic,600
