method,horizon,raw_mean,calibrated_mean,prevalence
map_logistic,300,0.0345389507200772,0.0251416393529309,0.025116519937856
lgbm_plain,300,0.0328749400377998,0.025194699576538,0.025116519937856
lgbm_class_weight,300,0.2229027371377565,0.0251990723395043,0.025116519937856
lgbm_scale_pos_20x,300,0.4185664556408976,0.0251455143144502,0.025116519937856
lgbm_oversample_3x,300,0.0825055995648587,0.0251165712190144,0.025116519937856
lgbm_smote_3x,300,0.0339128719907661,0.0251174786488115,0.025116519937856
lgbm_jitter_3x,300,0.0347280760020443,0.0251171743123174,0.025116519937856
catboost_plain,300,0.0351081773988811,0.0251557396273982,0.025116519937856
catboost_balanced,300,0.1834315225293274,0.0251886770051122,0.025116519937856
catboost_balanced_jitter,300,0.1116085899475011,0.0251924372813785,0.025116519937856
tabm_20260917,300,0.0347979329526424,0.0251123663038015,0.025116519937856
tabm_20260918,300,0.0337219797074794,0.0251130852848291,0.025116519937856
tabm_20260919,300,0.0383883379399776,0.0251124314963817,0.025116519937856
ensemble_diverse,300,0.0251315215958479,0.0251315215958479,0.025116519937856
map_logistic,600,0.0631448448300863,0.055347275932653,0.0552832244008714
lgbm_plain,600,0.0645975411412918,0.0552571254318072,0.0552832244008714
lgbm_class_weight,600,0.2922082365226938,0.0553021936580907,0.0552832244008714
lgbm_scale_pos_20x,600,0.5407912251814188,0.055281465510853,0.0552832244008714
lgbm_oversample_3x,600,0.1545543930729108,0.0552884279642967,0.0552832244008714
lgbm_smote_3x,600,0.0674011455528437,0.055255068314031,0.0552832244008714
lgbm_jitter_3x,600,0.0675749503355723,0.0552552748544803,0.0552832244008714
catboost_plain,600,0.0664737615052878,0.0552676546539147,0.0552832244008714
catboost_balanced,600,0.241705974940918,0.0553214625264734,0.0552832244008714
catboost_balanced_jitter,600,0.1436090520921663,0.0552397321045194,0.0552832244008714
tabm_20260917,600,0.0628748685121536,0.0552876628935337,0.0552832244008714
tabm_20260918,600,0.0644427016377449,0.055213414132595,0.0552832244008714
tabm_20260919,600,0.0697288513183593,0.0552277788519859,0.0552832244008714
ensemble_diverse,600,0.0552618558940926,0.0552618558940926,0.0552832244008714
