horizon,variant,n_train,n_positive,recall_ceiling,ppv_at_ceiling,fa_per_hour_at_ceiling,auroc,threshold_at_ceiling
300,baseline_no_augment,45796,1451,0.7391304347826086,0.10240963855421686,2.599592904914219,0.8649208714782485,0.03512820512820513
300,oversample_3x,48698,4353,0.782608695652174,0.1651376146788991,1.5876708345449257,0.8672734369455681,0.13564102564102565
300,smote_5nn_3x,50149,5804,0.782608695652174,0.15,1.7795870892701366,0.862845078418849,0.06025641025641026
300,gaussian_jitter_3x,50149,5804,0.782608695652174,0.10975609756097561,2.5472521081709796,0.860131466893762,0.03512820512820513
600,baseline_no_augment,43642,2566,0.9166666666666666,0.1341991341991342,3.7054191755442334,0.8115742102797119,0.03512820512820513
600,oversample_3x,48774,7698,0.9583333333333334,0.11158798283261803,3.8351088466882817,0.8256900177612152,0.03512820512820513
600,smote_5nn_3x,51340,10264,0.9166666666666666,0.1695906432748538,2.6308476146364055,0.8224074618896625,0.06025641025641026
600,gaussian_jitter_3x,51340,10264,0.9583333333333334,0.16847826086956522,2.8346456692913384,0.8119811927255294,0.06025641025641026
