horizon,required_votes,total_models,recall,ppv,fa_per_hour,prediction_coverage,events_detected,events_eligible
300,1,4,0.7391304347826086,0.07053941908713693,3.908112823495202,0.8821140795600833,17,23
300,2,4,0.782608695652174,0.07894736842105263,3.6638557720267517,0.8821140795600833,18,23
300,3,4,0.7391304347826086,0.11038961038961038,2.3902297179412617,0.8821140795600833,17,23
300,4,4,0.782608695652174,0.1935483870967742,1.3085199185809828,0.8821140795600833,18,23
600,1,4,0.9583333333333334,0.12946428571428573,3.6127836961556277,0.8821140795600833,23,24
600,2,4,0.9583333333333334,0.1277533039647577,3.668364983788791,0.8821140795600833,23,24
600,3,4,0.9166666666666666,0.1318181818181818,3.538675312644743,0.8821140795600833,22,24
600,4,4,0.9583333333333334,0.17341040462427745,2.649374710514127,0.8821140795600833,23,24
