experiment,model,horizon,recall_current,ppv_current,fa_per_hour_current,threshold_current,recall_ceiling,ppv_ceiling,fa_per_hour_ceiling,threshold_ceiling,auroc,prediction_coverage,events_eligible,events_detected_at_ceiling
E05,map_all_20260917,300,0.6285714285714286,0.3283582089552239,0.6586972432300562,0.0853846153846153,0.782608695652174,0.1294964028776978,2.111078801977319,0.0351282051282051,0.8843610283159464,0.8821140795600833,23,18
E05,map_all_20260917,600,0.7297297297297297,0.3295454545454545,0.916860916860917,0.1356410256410256,0.9583333333333334,0.1148936170212766,3.8536359425660014,0.0351282051282051,0.8037350310004031,0.8821140795600833,24,23
E05,logistic_all_20260917,300,0.2,0.1372549019607843,0.6440595267138327,0.0853846153846153,0.782608695652174,0.1232876712328767,2.233207327711544,0.0351282051282051,0.8809337520403094,0.8821140795600833,23,18
E05,logistic_all_20260917,600,0.3513513513513513,0.21875,0.7770007770007771,0.1356410256410256,0.9583333333333334,0.1016260162601626,4.094488188976378,0.0351282051282051,0.8039635840606715,0.8821140795600833,24,23
E05,lightgbm_all_20260917,300,0.4,0.1728395061728395,0.9807270065869724,0.1105128205128205,0.782608695652174,0.1487603305785124,1.797034021517883,0.0351282051282051,0.8527783691718118,0.8821140795600833,23,18
E05,lightgbm_all_20260917,600,0.4594594594594595,0.28,0.8391608391608393,0.1607692307692307,0.8333333333333334,0.1428571428571428,2.334414080592867,0.01,0.8046794808930733,0.8821140795600833,24,20
E05,catboost_all_20260917,300,0.3714285714285714,0.2452830188679245,0.5855086606489388,0.1607692307692307,0.782608695652174,0.1636363636363636,1.6051177667926722,0.0351282051282051,0.8883312043148108,0.8821140795600833,23,18
E05,catboost_all_20260917,600,0.5405405405405406,0.282051282051282,0.8702408702408703,0.1607692307692307,0.9583333333333334,0.125,3.6313107920333487,0.0351282051282051,0.8319298704411973,0.8821140795600833,24,23
E05,catboost_numeric_20260917,300,0.4,0.3181818181818182,0.4391314954867041,0.1607692307692307,0.7391304347826086,0.1504424778761062,1.674905495783658,0.0351282051282051,0.8924623873394365,0.8821140795600833,23,17
E05,catboost_numeric_20260917,600,0.5675675675675675,0.3582089552238806,0.6682206682206683,0.1858974358974359,0.9166666666666666,0.1273584905660377,3.427512737378416,0.0351282051282051,0.8389842328353657,0.8821140795600833,24,22
E05,catboost_map_only_20260917,300,0.3428571428571428,0.2264150943396226,0.6001463771651623,0.1607692307692307,0.8260869565217391,0.1266666666666666,2.285548124454784,0.0351282051282051,0.8963895394223264,0.8821140795600833,23,19
E05,catboost_map_only_20260917,600,0.5945945945945946,0.3055555555555556,0.7770007770007771,0.1858974358974359,1.0,0.1597938144329896,3.0199166280685503,0.0602564102564102,0.8381021651248188,0.8821140795600833,24,24
E06,tabm_ensemble,300,0.4857142857142857,0.2125,0.9221761405220786,0.1105128205128205,0.7391304347826086,0.0739130434782608,3.716196568769991,0.01,0.870403981264637,0.8821140795600833,23,17
E06,tabm_ensemble,600,0.6486486486486487,0.3611111111111111,0.7148407148407149,0.1858974358974359,0.9583333333333334,0.1271929824561403,3.686892079666512,0.0351282051282051,0.819418565373258,0.8821140795600833,24,23
E06,lightgbm_monotone,300,0.4571428571428571,0.1904761904761904,0.995364723103196,0.1105128205128205,0.7391304347826086,0.0732758620689655,3.751090433265484,0.01,0.8649430487545242,0.8821140795600833,23,17
E06,lightgbm_monotone,600,0.4594594594594595,0.2950819672131147,0.6682206682206683,0.1858974358974359,0.9166666666666666,0.1196581196581196,3.81658175081056,0.0351282051282051,0.812421954169527,0.8821140795600833,24,22
E06,tabm_20260917,300,0.5428571428571428,0.2235294117647059,0.9660892900707492,0.1105128205128205,0.782608695652174,0.0775862068965517,3.733643501017737,0.01,0.8654753033851394,0.8821140795600833,23,18
E06,tabm_20260917,600,0.6216216216216216,0.3333333333333333,0.8080808080808082,0.1858974358974359,0.9583333333333334,0.1363636363636363,3.520148216767021,0.0351282051282051,0.8131803471609298,0.8821140795600833,24,23
E06,tabm_20260918,300,0.4857142857142857,0.2328767123287671,0.8197121249085143,0.1105128205128205,0.782608695652174,0.0759493670886076,3.8208781622564696,0.01,0.8645660350578385,0.8821140795600833,23,18
E06,tabm_20260918,600,0.5675675675675675,0.3384615384615385,0.6682206682206683,0.1858974358974359,0.9166666666666666,0.1222707423580786,3.7239462714219536,0.0351282051282051,0.8157524544255934,0.8821140795600833,24,22
E06,tabm_20260919,300,0.5142857142857142,0.2222222222222222,0.9221761405220786,0.1105128205128205,0.7391304347826086,0.1278195488721804,2.0238441407385865,0.0351282051282051,0.8781553828684976,0.8821140795600833,23,17
E06,tabm_20260919,600,0.6216216216216216,0.3378378378378378,0.7614607614607616,0.1858974358974359,0.9166666666666666,0.1261261261261261,3.594256600277906,0.0351282051282051,0.8261601996229828,0.8821140795600833,24,22
E08,lightgbm_gaussian_jitter,300,,,,,0.782608695652174,0.1512605042016806,1.76214015702239,0.0602564102564102,0.8693057625434675,0.8821140795600833,23,18
E08,lightgbm_gaussian_jitter,600,,,,,0.9583333333333334,0.1684782608695652,2.8346456692913384,0.0602564102564102,0.8125946629182875,0.8821140795600833,24,23
E08,catboost_balanced_plus_jitter,300,,,,,0.8695652173913043,0.10638297872340426,2.9310846176214014,0.1105128205128205,0.873537186856859,0.8821140795600833,23,20
E08,catboost_balanced_plus_jitter,600,,,,,0.9166666666666666,0.11312217194570136,3.6313107920333487,0.03512820512820513,0.8038088544561037,0.8821140795600833,24,22
