feature,mean_abs_shap,nhóm,share_%,tương quan giá trị–SHAP
rr_600_min,0.0005691038898669246,EtCO2/RR,0.019845711414673867,0.35540463886102447
preop_htn,0.000506202992851735,Static,0.017652240113362836,0.2451531945408813
spo2_600_std,0.00042219933999956876,SpO2,0.01472287645592524,0.06643082772510438
rr_300_slope,0.00042149022475289436,EtCO2/RR,0.014698148288018084,-0.33235913969700054
spo2_300_missing,0.0003642258897429954,SpO2,0.012701234390231513,0.8594298169017903
rr_600_std,0.00035853553436443844,EtCO2/RR,0.012502801111702726,-0.19431191002332876
etco2_60_max,0.0003532707874113826,EtCO2/RR,0.012319209590783654,0.37555825847220925
etco2_age,0.00030955346088072736,EtCO2/RR,0.010794705081859415,-0.005125043903608226
sbp_60_mean,0.00030489498436770036,SBP/DBP,0.010632255339104734,0.33904838143544996
spo2_600_min,0.0002884196640504025,SpO2,0.010057730268545364,-0.31486929783853207
rr_600_max,0.0002851080280149118,EtCO2/RR,0.009942247358937856,0.07369061953013183
rr_600_missing,0.00025282847127473573,EtCO2/RR,0.00881659916171868,0.7322097371932265
etco2_60_mean,0.00024696803472142005,EtCO2/RR,0.008612234836202815,-0.020484726572611297
spo2_60_slope,0.00020319559810569587,SpO2,0.007085808536084051,0.4442384731909788
rr_300_std,0.00015540887981040143,EtCO2/RR,0.005419396765529315,0.4468577876192903
etco2_current,0.00013601415823821794,EtCO2/RR,0.004743066741885467,-0.18200339839058352
map_300_max,0.00011099583615816925,MAP,0.003870631306246274,-0.10544483387903386
hr_current,0.00010836536072424961,HR,0.0037789017340636535,-0.09944852446569366
dbp_300_mean,9.05018790416286e-05,SBP/DBP,0.0031559688941255777,0.04195226651688909
map_600_std,8.599173574667993e-05,MAP,0.0029986918066480916,0.1453530482283899
rr_300_min,8.487391914517094e-05,EtCO2/RR,0.0029597114621396996,0.15290456099919567
spo2_300_mean,6.35992781388238e-05,SpO2,0.0022178251503777485,-0.1300331223380955
map_60_missing,0.0,MAP,0.0,
map_300_missing,0.0,MAP,0.0,
map_600_missing,0.0,MAP,0.0,
dbp_60_mean,0.0,SBP/DBP,0.0,
dbp_60_missing,0.0,SBP/DBP,0.0,
sbp_300_slope,0.0,SBP/DBP,0.0,
sbp_300_missing,0.0,SBP/DBP,0.0,
sbp_60_missing,0.0,SBP/DBP,0.0,
spo2_60_min,0.0,SpO2,0.0,
spo2_60_max,0.0,SpO2,0.0,
etco2_60_missing,0.0,EtCO2/RR,0.0,
spo2_60_std,0.0,SpO2,0.0,
spo2_60_missing,0.0,SpO2,0.0,
dbp_300_missing,0.0,SBP/DBP,0.0,
hr_300_missing,0.0,HR,0.0,
hr_60_missing,0.0,HR,0.0,
dbp_age,0.0,SBP/DBP,0.0,
spo2_300_slope,0.0,SpO2,0.0,
