feature,mean_abs_shap,nhóm,share_%,tương quan giá trị–SHAP
map_current,0.35891998373368006,MAP,11.411068167138463,-0.5112514888489451
map_60_min,0.27118074149281884,MAP,8.621592742202429,-0.8788225838084124
map_600_min,0.23237487500773568,MAP,7.387845924486286,-0.7974829122852742
mac_cur,0.1367349247786708,Độ mê / thuốc mê,4.347184938678992,0.9437024330387401
map_300_min,0.12352772375266668,MAP,3.9272911516652824,-0.8421147075245966
rftn_ce_d300,0.11812726123571515,Độ mê / thuốc mê,3.7555953734755225,0.828679024243344
dbp_600_min,0.1127360510103198,SBP/DBP,3.584193751461052,-0.6566284644202444
sbp_60_slope,0.1051631107055105,SBP/DBP,3.343428840171047,-0.5015740286839554
bt_svr_lz_cur,0.0962455297529388,Beat (ART waveform),3.059914049277496,-0.7996652670349308
dbp_300_min,0.09431363031199053,SBP/DBP,2.9984935733725515,-0.7803880968155756
dbp_60_slope,0.08701588575149605,SBP/DBP,2.7664779029718845,-0.358487382418455
ppf_ce_cur,0.07427959050620031,Độ mê / thuốc mê,2.361555525206733,-0.9112435951189247
hr_600_std,0.06827075621406077,HR,2.1705179100832446,0.6448047104377083
dbp_current,0.05741770484513334,SBP/DBP,1.8254691120085746,-0.6507768027095634
map_300_std,0.05517832564922474,MAP,1.7542729963987351,0.3319606085562966
static_asa,0.051927047523468765,Static,1.6509057892084653,0.901899208923229
bt_svr_lz_d300,0.05133488129063012,Beat (ART waveform),1.6320791717019483,-0.468735093550104
bt_co_lz_d300,0.05047522360535712,Beat (ART waveform),1.604748254250627,0.5823007944689416
hr_60_slope,0.04527201050731305,HR,1.4393235856872169,0.2753165997676255
map_600_mean,0.044749059369686685,MAP,1.4226975092635512,-0.6948175534732917
etco2_300_std,0.043425514267870606,EtCO2/RR,1.3806183159514507,0.3687080565606308
sbp_300_std,0.04197818033517919,SBP/DBP,1.3346035301634043,0.6661374370144626
mac_d300,0.04169772972481773,Độ mê / thuốc mê,1.325687222414085,0.5860798141362168
dbp_600_std,0.040765415089312675,SBP/DBP,1.2960463377012879,0.6478670428034531
hr_300_slope,0.03641662691131835,HR,1.1577862223760833,0.5584647633532821
preop_hb,0.03411455065285312,Static,1.0845967921358615,-0.64799036276888
bt_sv_lz_cur,0.03360358886737334,Beat (ART waveform),1.068351890683846,0.7880374234201987
rftn_ce_cur,0.031586726442033364,Độ mê / thuốc mê,1.0042302043405982,-0.27984452607214083
sbp_600_std,0.026912971906909167,SBP/DBP,0.8556385014156709,0.783603995394171
map_60_slope,0.026625584977375338,MAP,0.846501668717917,0.1933604574587442
sbp_300_min,0.026487354319893748,SBP/DBP,0.8421069302614449,0.7138261711479622
dbp_300_std,0.02572129785077923,SBP/DBP,0.8177518567489335,0.3413210281664254
hr_60_std,0.02422700443087524,HR,0.7702440977803409,-0.8141465571443729
bis_cur,0.019972224431142653,Độ mê / thuốc mê,0.6349727648551967,0.10158483170928422
sbp_600_min,0.019643339741770915,SBP/DBP,0.6245166025359268,0.6804685294254152
map_60_mean,0.018578521022224785,MAP,0.5906630431214087,-0.32561165883478793
hr_600_max,0.018487366056110375,HR,0.5877649722999286,0.7747972454223288
etco2_600_std,0.01690068710473153,EtCO2/RR,0.5373200194020641,0.6328630007719851
peep_cur,0.016891742207979187,Thở máy / CVP,0.5370356361656469,-0.8616698978158653
hr_600_slope,0.015840560838602448,HR,0.5036156461801231,-0.5696586407326166
etco2_300_min,0.01573310427038101,EtCO2/RR,0.5001993019235954,-0.7772886232758441
dbp_600_slope,0.01450264651384722,SBP/DBP,0.46107961516073825,0.6333503946374958
bis_d300,0.013199988494942205,Độ mê / thuốc mê,0.41966448051829286,0.12566676706664484
static_age,0.013116915199251292,Static,0.4170233485586379,-0.3048039239901638
dbp_300_mean,0.012430394542184458,SBP/DBP,0.3951969405262806,0.6689826342056457
sbp_300_slope,0.01090275139752561,SBP/DBP,0.3466289007157737,-0.05661031764602019
etco2_600_mean,0.010873930906599924,EtCO2/RR,0.34571261686012905,-0.623056523101119
ppf_ce_d300,0.010493512560678132,Độ mê / thuốc mê,0.3336180557488017,0.5578000371848667
sbp_current,0.010346369754276094,SBP/DBP,0.3289399752009,0.12962575924834155
static_bmi,0.009321899253035587,Static,0.29636919827377245,0.6510982182041802
hr_600_mean,0.00757796237876999,HR,0.24092457703976194,0.6801710772991709
map_60_max,0.007523975409470414,MAP,0.23920818058725404,-0.25622688950897266
etco2_600_slope,0.0074782177064545196,EtCO2/RR,0.23775341548096374,0.6167714147346001
rr_300_min,0.006991213206402477,EtCO2/RR,0.22227018300672918,-0.612537877040978
map_600_std,0.006914845802541974,MAP,0.21984225006709607,0.6198141383973196
map_300_mean,0.0068783538604661925,MAP,0.218682069365408,-0.4781799107997654
dbp_600_missing,0.006854081438763173,SBP/DBP,0.21791038132576906,0.8364842638994233
spo2_600_max,0.006668121068600537,SpO2,0.211998182071111,0.7244585638265294
sbp_60_max,0.006504000644201233,SBP/DBP,0.2067803356559898,0.4336494370592139
sbp_600_mean,0.005779405485306017,SBP/DBP,0.18374343292987402,0.33063910607019054
