threshold,gates_met,gates_total,all_gates_met,auroc,average_precision,ece,event_sensitivity,alarm_ppv,false_alarms_per_hour,prediction_coverage,events_detected,events_eligible,horizon
0.04629652560393429,1,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.8260869565217391,0.15966386554621848,1.7446932247746436,0.8821140795600833,19,23,300
0.058381541646385704,1,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.782608695652174,0.20930232558139536,1.1863913928467578,0.8821140795600833,18,23,300
0.06291116093262146,1,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.7391304347826086,0.23943661971830985,0.9421343413783075,0.8821140795600833,17,23,300
0.06507347140328672,1,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.6956521739130435,0.23529411764705882,0.9072404768828147,0.8821140795600833,16,23,300
0.069995252302558,1,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.6086956521739131,0.2222222222222222,0.8548996801395754,0.8821140795600833,14,23,300
0.07251844879951419,1,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.6086956521739131,0.2222222222222222,0.8548996801395754,0.8821140795600833,14,23,300
0.09879289205910105,1,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.5652173913043478,0.29545454545454547,0.5408548996801396,0.8821140795600833,13,23,300
0.11855236872776624,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.5217391304347826,0.375,0.3489386449549287,0.8821140795600833,12,23,300
0.13564102564102565,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.4782608695652174,0.39285714285714285,0.29659784821168944,0.8821140795600833,11,23,300
0.13880813722280672,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.4782608695652174,0.39285714285714285,0.29659784821168944,0.8821140795600833,11,23,300
0.1512587485473684,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.43478260869565216,0.45454545454545453,0.20936318697295725,0.8821140795600833,10,23,300
0.16076923076923078,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.391304347826087,0.45,0.19191625472521082,0.8821140795600833,9,23,300
0.21102564102564103,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.2608695652173913,0.6,0.06978772899098575,0.8821140795600833,6,23,300
0.23067637455636258,3,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.21739130434782608,0.7142857142857143,0.03489386449549287,0.8821140795600833,5,23,300
0.23615384615384616,3,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.21739130434782608,0.7142857142857143,0.03489386449549287,0.8821140795600833,5,23,300
0.31153846153846154,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.08695652173913043,0.6666666666666666,0.017446932247746436,0.8821140795600833,2,23,300
0.33666666666666667,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.08695652173913043,0.6666666666666666,0.017446932247746436,0.8821140795600833,2,23,300
0.4623076923076923,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.4818722069303956,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.48743589743589744,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.5125641025641026,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.5376923076923077,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.5628205128205128,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.587948717948718,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.6130769230769231,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.6382051282051282,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.6633333333333333,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.6884615384615385,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.7135897435897436,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.7387179487179487,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.7638461538461538,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.788974358974359,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.8141025641025641,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.8392307692307692,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.8643589743589744,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.8894871794871795,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.9146153846153846,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.9397435897435897,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.9648717948717949,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.99,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
1.000001,2,6,False,0.8846134057199632,0.23224794207176447,0.003957058361108429,0.0,,0.0,0.8821140795600833,0,23,300
0.053867047055958406,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,1.0,0.17032967032967034,2.7975914775358963,0.8821140795600833,24,24,600
0.05593980565257478,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.9583333333333334,0.16666666666666666,2.779064381658175,0.8821140795600833,23,24,600
0.07687045594726676,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.9166666666666666,0.2,2.0750347383047707,0.8821140795600833,22,24,600
0.0792159206843114,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.875,0.20300751879699247,1.9638721630384437,0.8821140795600833,21,24,600
0.08898019929878775,1,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.8333333333333334,0.22807017543859648,1.6303844372394627,0.8821140795600833,20,24,600
0.09047547824490418,1,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.8333333333333334,0.22018348623853212,1.574803149606299,0.8821140795600833,20,24,600
0.09646994264463585,1,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.7916666666666666,0.23,1.4265863825845297,0.8821140795600833,19,24,600
0.1041308379187684,1,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.75,0.26136363636363635,1.2042612320518757,0.8821140795600833,18,24,600
0.11166103059539545,1,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.7083333333333334,0.2876712328767123,0.9634089856415007,0.8821140795600833,17,24,600
0.11828398542682848,1,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.6666666666666666,0.3076923076923077,0.8337193144974525,0.8821140795600833,16,24,600
0.12136630368364176,1,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.6666666666666666,0.29508196721311475,0.7966651227420102,0.8821140795600833,16,24,600
0.12360162529737768,1,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.625,0.288135593220339,0.778138026864289,0.8821140795600833,15,24,600
0.13858095558069142,1,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.5833333333333334,0.3191489361702128,0.5928670680870773,0.8821140795600833,14,24,600
0.15642836909775187,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.5416666666666666,0.3684210526315789,0.444650301065308,0.8821140795600833,13,24,600
0.16198081541197112,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.4583333333333333,0.40625,0.35201482167670217,0.8821140795600833,11,24,600
0.175317505569676,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.4166666666666667,0.4074074074074074,0.29643353404353867,0.8821140795600833,10,24,600
0.1838089830944088,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.375,0.44,0.25937934228809634,0.8821140795600833,9,24,600
0.20997345542319099,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.2916666666666667,0.4444444444444444,0.18527095877721167,0.8821140795600833,7,24,600
0.21102564102564103,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.2916666666666667,0.4444444444444444,0.18527095877721167,0.8821140795600833,7,24,600
0.2612820512820513,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.16666666666666666,0.4444444444444444,0.09263547938860583,0.8821140795600833,4,24,600
0.26566862756435,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.16666666666666666,0.4444444444444444,0.09263547938860583,0.8821140795600833,4,24,600
0.2864102564102564,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.08333333333333333,0.3333333333333333,0.07410838351088467,0.8821140795600833,2,24,600
0.31153846153846154,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.041666666666666664,0.25,0.0555812876331635,0.8821140795600833,1,24,600
0.33666666666666667,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.3617948717948718,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.3869230769230769,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.41205128205128205,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.4371794871794872,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.4623076923076923,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.46470148216971646,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.48743589743589744,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.5125641025641026,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.5376923076923077,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.5628205128205128,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.587948717948718,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.6130769230769231,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.6382051282051282,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.6633333333333333,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.6884615384615385,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.7135897435897436,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.7387179487179487,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.7638461538461538,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.788974358974359,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.8141025641025641,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.8392307692307692,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.8643589743589744,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.8894871794871795,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.9146153846153846,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.9397435897435897,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.9648717948717949,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
0.99,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
1.000001,2,7,False,0.8214349536356009,0.20407432983164125,0.014577487580485828,0.0,,0.0,0.8821140795600833,0,24,600
